,Media,Varianza,Momento 3,Momento 4,Entropía,Clase
192,6.359433,1013.6375,155909.36,25139628.0,0.30179292,0.0
193,1.2182889,32.147327,1506.2396,121370.93,0.41731104,0.0
194,1.2954777,31.830393,954.229,39559.273,0.42390049,0.0
195,8.566155,1335.4622,196978.45,30874398.0,0.3582265,0.0
196,3.4608445,338.34625,40987.484,5454151.5,0.51212734,0.0
197,6.2084,897.959,124788.86,18212730.0,0.2933909,0.0
198,8.451156,1234.6636,170203.7,25027648.0,0.35970464,0.0
199,5.011711,780.3775,118169.37,18592524.0,0.24336196,0.0
200,0.0,0.0,0.0,0.0,0.0,0.0
201,0.0,0.0,0.0,0.0,0.0,0.0
202,0.0,0.0,0.0,0.0,0.0,0.0
203,0.0,0.0,0.0,0.0,0.0,0.0
204,0.0,0.0,0.0,0.0,0.0,0.0
